759251,3070,1
939091,2604,3
1917731,2874,1
2681631,10,1
5673292,141,1
6329742,8,0
7545142,1901,1
7776912,255,1
8096112,17,1
10947312,22,1
11182292,9,0
11392232,575,3
11540552,48,0
11649992,497,4
12818342,1661,2
13728662,82,0
13875372,696,1
13960902,170,1
14117769,141,0
14359375,56,0
14547447,1808,1
14569841,975,2
14617868,1029,3
14784254,13,0
14852033,620,4
14992165,49,1
15069976,645,2
15072797,328,1
15128977,91,0
15151822,706,1
15418628,1457,2
15607963,247,2
15720120,67,0
15723458,100,0
15745368,2654,2
15888105,1320,1
15940315,17,0
15974153,1159,5
15986565,205,2
15997531,416,1
16136445,204,1
16200585,15,0
16243984,668,1
16265853,2337,3
16309657,673,8
16341142,979,2
16550687,402,1
16739694,1710,7
16740433,1196,4
16753409,409,1
16906983,485,2
17099689,1,1
17145512,1026,2
17400044,181,1
17448148,14,0
17558218,661,1
17574297,48,1
17613435,503,2
17685258,1543,3
17685964,510,3
17719672,290,1
17732964,974,0
17760630,341,2
17763515,484,1
17845127,1026,3
18027959,486,1
18029781,483,2
18136034,43,1
18245766,254,3
18248645,1,0
18272853,1103,2
18274010,204,1
18318030,11,0
18400385,418,3
18475974,487,1
18530903,19,0
18572863,99,3
18708177,8,0
18725633,449,2
18929394,244,3
18974277,10,0
19185429,52,0
19581334,1700,5
19604186,1316,2
19632260,2341,8
19697342,472,1
19707278,28,0
19716058,18,0
19762480,667,1
19777405,2104,1
20000194,510,1
20098620,26,0
20147219,386,0
20222688,275,0
20280853,37,0
20411005,1383,2
20429035,137,1
20446102,1030,1
20623702,656,3
20656256,388,2
21016128,56,0
21118184,801,1
21605324,1830,3
21660126,678,6
21706872,822,1
21785269,563,3
21883871,771,1
21920484,681,1
21958663,239,1
21969884,346,1
22017044,151,1
22232548,1267,3
22339024,1111,2
22404738,904,4
22614666,27,2
22820873,454,1
22972709,483,4
23090555,1531,1
23373309,835,1
23405846,2930,1
23611160,597,1
23664635,9,1
23682600,1680,3
23748020,173,3
23863268,644,2
24075489,226,1
24142487,198,5
24196556,41,3
24249934,298,3
24810344,351,2
24814492,673,1
24945124,108,1
25048747,521,3
25073877,1170,10
25096781,452,1
25191044,156,2
25585849,547,3
26469886,444,2
26525324,43,0
26532337,705,2
26563871,725,1
26747817,44,1
26847518,192,1
26958749,1248,1
27455672,231,1
27646928,580,2
27850390,79,1
28053280,2,0
28396869,449,1
28473012,183,1
28528503,978,2
28696411,651,2
28726381,4,1
28752702,1040,3
28773206,646,1
29184982,116,4
29251738,245,4
29418852,721,3
29442313,2679,6
29629969,828,3
29900310,914,4
30035425,92,1
30132130,1049,4
30143919,406,3
30196103,131,2
30230184,69,0
30351711,634,6
30356674,428,2
30616006,186,1
30755720,1998,1
30802132,40,0
30842039,561,1
30925148,1423,1
31087909,7,1
31223131,163,2
31233576,322,1
32361058,994,0
32782949,55,1
32856121,25,0
32909222,7,0
32984890,310,3
33231304,156,1
33321307,171,0
33401235,643,1
33432068,1398,1
33515052,2,0
34010442,3,0
34197952,2195,1
34301029,213,0
34856314,484,3
34867057,4,0
35150939,221,3
35487270,187,1
35734905,67,1
35787586,166,1
35827193,16,0
35850345,465,2
35898846,11,0
36225973,820,1
36413526,146,0
36858350,859,2
37034483,2442,1
37184582,416,2
37252579,71,0
37322896,346,1
37362719,35,1
37364394,978,1
37630113,342,1
37939841,386,1
38097760,2180,2
38291490,20,0
38513684,19,0
38604993,190,2
38900576,24,0
39141907,8,0
39811455,312,3
39843072,403,2
40044347,181,2
40654208,227,2
40681804,10,0
41102502,10,0
41926908,29,1
42463601,417,2
42699078,703,1
42892164,518,2
42994751,37,0
43263991,1017,2
43279975,877,2
43488815,38,1
43500847,484,0
43795819,6,0
43875104,253,2
43918734,54,0
43965713,460,0
44202015,198,3
44571594,49,0
44588587,720,2
44593313,10,0
44624792,1375,3
44834511,242,0
45018119,151,0
45032367,408,15
45087110,2,0
45249778,722,2
45543903,1262,5
45821712,197,1
45978198,14,0
46028446,896,0
46048700,13,1
46223134,17,1
46339220,973,3
46352660,259,0
46545559,8,0
46586980,22,0
46804714,2080,2
47160854,1025,1
